dep,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27
ain,1.6142128210467524e-06,1.6142128210467524e-06,1.6142128210467524e-06,1.6142128210467524e-06,1.6142128210467524e-06,4.842638463140257e-06,4.842638463140257e-06,4.842638463140257e-06,8.071064105233762e-06,1.1299489747327267e-05,1.2913702568374019e-05,0.00012106596157850643,0.0003777258001249401,0.00038095422576703357,0.0003825684385880803,0.0006214719361029997,0.001134791613195867,0.0018531163185616718,0.002710263326537497,0.003352720029314105,0.0036787910191655488,0.0038854102602595333,0.004497196919436252,0.006177592466145921,0.008214729046306924,0.009991977362279398,0.01103960148313874,0.011399570942232165,0.011512565839705438,0.012295459057913113,0.013494819183950851,0.014327752999610975,0.015427031930743813,0.016455285497750594,0.016837853936338673,0.016937935131243573,0.017677244603282988,0.01851502105740625,0.019121965078119828,0.019896787232222272,0.020608655086303888,0.021033193058239183,0.02103642148388128,0.021853213171330935,0.023105842320463213,0.02464902977738391,0.025930714757295033,0.026962196749943906,0.027222085014132435,0.027222085014132435,0.027927496016929863,0.028989648053178628,0.029833881358586077,0.03078788113582471,0.031724124572031824,0.03204858134906222,0.03205019556188327,0.03274269286211233,0.033522357654677905,0.03422131180619115,0.03555465159637577,0.03696385938914958,0.03773868154325202,0.03777096579967296,0.038791148302574505,0.04034724946206358,0.041867837939489616,0.04380005068628258,0.045985694845979884,0.0472463950592174,0.047317420423343456,0.04839571458780269,0.050558759768005335,0.05243447506606166,0.055156037882346486,0.05838930616290313,0.06081385382011535,0.06103015833813562,0.06289295993362357,0.06452492909570183,0.06587925365256006,0.06796804504299456,0.07079291747982637,0.07312545500623893,0.07328203364988047,0.07582603305585014,0.07937245862368987,0.08198102654250142,0.08667838585174746,0.09131279086097269,0.09342740965654393
aisne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.073568649815671e-05,0.0005240090581353795,0.00142945227166259,0.0015664723080654809,0.0016572017916295571,0.0021515848959480955,0.002807059124145708,0.0036736182732883143,0.004880875891324595,0.006047397822862719,0.006663987986675727,0.006778788557715987,0.008280454091807127,0.010022830500660104,0.012672501745153842,0.017494125728844755,0.020123429130089413,0.020660399543019663,0.020784458224627687,0.021584358977682398,0.022887900945623412,0.02318786372801893,0.023315625653854057,0.023535968685366816,0.023543375173821025,0.023543375173821025,0.023563743017070104,0.02364706601217997,0.02387666715426049,0.02429513375192337,0.02462472248813573,0.02475248441397086,0.024769149012992833,0.02533574537973992,0.02593196770030385,0.026830004425376853,0.028563122723662064,0.030201808294156095,0.030738778707086342,0.030740630329199894,0.03137758833626198,0.03214415989127275,0.03306811932593549,0.03400689173750664,0.034827160333810434,0.03551596376005199,0.035588177022480544,0.03628623855928986,0.03708613931234458,0.038197112580476124,0.03980802381926687,0.04130413448701735,0.0421262547054347,0.04222809392168009,0.043409428830126634,0.04531845122919934,0.04671272268070443,0.048862455954538975,0.05080295592954207,0.05476727887465815,0.05755397015555477,0.05861680124873395,0.06046286849594587,0.06212007028757543,0.06451606930251247,0.06767493662823316,0.07247434114656144,0.0751740061881211,0.07630719892161528,0.0779032971834976,0.07930867836768402,0.08043446461272398,0.08260271410769404,0.08710030422151326,0.08985551792647949,0.09126645397700656,0.09347914240270189,0.09640840858634206,0.09954320482458658,0.1040093173624754,0.10862726291367553
allier,0.0,2.911793053044134e-06,2.911793053044134e-06,5.823586106088268e-06,5.823586106088268e-06,5.823586106088268e-06,5.823586106088268e-06,5.823586106088268e-06,5.823586106088268e-06,5.823586106088268e-06,3.494151663652961e-05,0.00021256089287222178,0.0006376826786166653,0.0009929214310880497,0.0010103921894063146,0.002210050927260498,0.004047392343731347,0.005995381896217872,0.008502435714888871,0.00962929962641695,0.01043877809516322,0.010561073403391075,0.013117627703963824,0.01646910150801762,0.020231138132550643,0.02372237800315056,0.026974850843400858,0.02832883461306638,0.02832883461306638,0.02887333991398563,0.030853359190055645,0.03287996715497436,0.035849996069079376,0.038339579129432116,0.04008665496125859,0.04008665496125859,0.04055254184974565,0.042785887121430506,0.04586074058544511,0.05039440236903483,0.05315478218332067,0.05359737472738337,0.0536119336926486,0.053984643203438244,0.055766660551901256,0.05717888018262766,0.06016637985505094,0.06330529276623252,0.06367217869091608,0.06367217869091608,0.06457192274430672,0.0661675853373749,0.06748371579735085,0.06855525564087109,0.07000241678823403,0.07037512629902368,0.07038094988512976,0.07084101318751074,0.07293750418570251,0.07471369794805943,0.07789628775503668,0.08028978164463896,0.08056931377773119,0.08056931377773119,0.08108761294117305,0.08346945965856314,0.08610172057851505,0.09058879367325605,0.09385291368571853,0.09651720432925391,0.09652302791536,0.09721894645503755,0.10017732819693038,0.10291732545984492,0.10779749061674689,0.11159155696486339,0.11410734616269352,0.11411316974879962,0.11484111801206065,0.11673378349653933,0.12053076163770889,0.1255390456889448,0.13057062408460507,0.13144707379357135,0.13144998558662438,0.13209640364440017,0.13604188323127497,0.1413529937600275,0.148248119709636,0.15477053614845485,0.15714947107279192
alpes_de_haute_provence,0.0,6.1760418982682375e-06,6.1760418982682375e-06,6.1760418982682375e-06,6.1760418982682375e-06,6.1760418982682375e-06,6.1760418982682375e-06,6.1760418982682375e-06,6.1760418982682375e-06,3.088020949134119e-05,3.088020949134119e-05,0.0004076187652857037,0.0009511104523333086,0.001303144840534598,0.001303144840534598,0.0017787000667012524,0.004378813705872181,0.005885767929049631,0.006441611699893772,0.007460658613108032,0.008115319054324464,0.00820178364090022,0.009659329528891524,0.01254971713728106,0.016094765186887027,0.019886854912423726,0.023833345685417128,0.024518886336124906,0.024518886336124906,0.02600113639170928,0.030052619876973247,0.033017119988141996,0.037124187850490376,0.03939697126905309,0.03979841399244052,0.03980459003433879,0.04145976926307468,0.04492452876800316,0.047191136144667606,0.049402159144247636,0.0517428790236913,0.05205168111860471,0.052064033202401244,0.05307072803181897,0.05428123224387954,0.055843770844141404,0.058091850095111044,0.05990143037130364,0.06006818350255688,0.06006818350255688,0.0602596408014032,0.060759900195162926,0.061173695002346894,0.0614454408458707,0.06177277106647892,0.061803651275970255,0.061803651275970255,0.06184688356925813,0.06196422836532523,0.062198917957459424,0.062649769016033,0.06398379406605895,0.06508930556584896,0.06509548160774722,0.06520665036191606,0.06604041601818227,0.06835643173003286,0.06964104844487265,0.07109859433286396,0.07673114454408458,0.07980681340942217,0.08008473529484424,0.08141258430297191,0.08388917710417748,0.08694631784382026,0.09125101904691321,0.09796437659033079,0.10080535586353417,0.10137972776007312,0.10183675486054497,0.10513476123422022,0.11016823538130882,0.11463351367375677,0.11561550433558142,0.11561550433558142,0.11626398873489958,0.1177771189999753,0.12410138590380197,0.13229081746090565,0.14123372612959806,0.1428765532745374
hautes_alpes,0.0,7.179833284271139e-06,1.4359666568542278e-05,2.8719333137084556e-05,2.8719333137084556e-05,4.307899970562684e-05,5.743866627416911e-05,6.461849955844025e-05,7.897816612698253e-05,7.897816612698253e-05,0.0002369344983809476,0.0011559531587676535,0.00220420881827124,0.002283186984398222,0.002283186984398222,0.0025990996489061525,0.003352982143754622,0.00435097897026831,0.005550011128741591,0.006461849955844025,0.006569547455108092,0.006569547455108092,0.00819218977735337,0.009822011932882919,0.01135131642243267,0.013182173909921812,0.014589421233638955,0.015393562561477322,0.015393562561477322,0.017662389879307003,0.021151788855462775,0.02394474400304425,0.026551023485234672,0.02916448280070937,0.02986092662928367,0.029889645962420754,0.031160476453736746,0.03250310527789545,0.03399651060102384,0.03541093775802526,0.03672484724904688,0.037270514578651485,0.037270514578651485,0.03787362057453026,0.03857006440310456,0.03915163089913052,0.039776276394862115,0.04038656222402516,0.0409250497203455,0.0409250497203455,0.041628673382204065,0.04242563487675816,0.043402092203419035,0.04450778652919679,0.04564220018811163,0.04586477501992404,0.04586477501992404,0.04636736334982302,0.0464966003489399,0.04664019701462532,0.047042267678544504,0.04808334350476382,0.04855003266824144,0.04862901083436843,0.04928955549652137,0.049950100158674314,0.05075424148651268,0.0524917611413063,0.05664170477961502,0.06143783341350814,0.06514262738819204,0.0691346146942468,0.0728681280020678,0.07644368497763482,0.07915048212580504,0.08227370960446298,0.08799603673202708,0.09280652503248875,0.09534818601512073,0.09641798117447713,0.09829909749495616,0.10091255681043086,0.10414348178835288,0.10534251394682616,0.10534969378011043,0.1105048140782171,0.11628457987205537,0.12194228850006103,0.12841131828918934,0.1357562877389987,0.13910926988275332
alpes_maritimes,1.3878980838679053e-05,3.608535018056554e-05,4.718853485150878e-05,5.6441188743961484e-05,8.419915042131959e-05,0.00010733078515245135,0.00011565817365565878,0.00012583609293735675,0.0002720280244381095,0.00045060424456244664,0.0006846963880415,0.0011695354520060216,0.0018098191013637486,0.0021715978685586494,0.0022474696304767617,0.0033226280127797657,0.005406325669360114,0.0070310916928748085,0.009047244976040253,0.010795071296324569,0.011713859827845122,0.011941475113599458,0.014262040709826595,0.016832427961149955,0.019967227099912933,0.02279853919100346,0.025597466993470402,0.02680863938799246,0.0268400984112268,0.02877482834013866,0.031931833848243524,0.03431439222555009,0.036931968011724964,0.03926363679262304,0.03988726566497436,0.039890966726531335,0.040843990077453964,0.042246692407549795,0.04256035737450394,0.043233025312485254,0.044171244417179956,0.04433039006413014,0.044343343779579575,0.04484483762055051,0.04514647413744447,0.04550455184308239,0.04595330555686635,0.04656583124454672,0.046757361180120485,0.046774941222516145,0.04720981595546143,0.04802127370182953,0.0487994218941848,0.05048803122955742,0.05212945203007853,0.05239592846218116,0.052419060096912294,0.05343037516735738,0.05506531911015377,0.057032433327689216,0.060612285118679166,0.06377114115756252,0.0651053738488542,0.06520067618394645,0.06745277214136945,0.06973817765280527,0.07240016617766391,0.07669247231837271,0.0803241389711604,0.0913977151496478,0.10085392742773445,0.10472431255094743,0.10936636900879095,0.11375120168842429,0.11999211673888363,0.12637182159772978,0.13680141306530247,0.13727792474076378,0.1417645366132141,0.14526574084611818,0.1510116389133313,0.1557591756255488,0.1620889161533757,0.16429104777977943,0.16467595818170547,0.16837054288096184,0.17391843415487648,0.1778332320167732,0.1832774935670924,0.189172359361974,0.19106175128681285
ardeche,0.0,0.0,0.0,0.0,0.0,2.184912244560349e-05,2.184912244560349e-05,2.184912244560349e-05,2.184912244560349e-05,2.184912244560349e-05,0.00011860952184756179,0.0005243789386944837,0.000664837582987649,0.0007178997374984004,0.0007178997374984004,0.0012079443409212214,0.0021755483349408045,0.003136909722547358,0.004622650048848395,0.005209455051673174,0.005262517206183926,0.0052687598125969555,0.006404914179768337,0.008995595841175607,0.010883984281117053,0.012294813330461734,0.01320623386676405,0.013540213309861134,0.013540213309861134,0.014052107035729558,0.015584666910128317,0.01732323279615705,0.021090645766420398,0.02329740713342635,0.02395912341320748,0.023980972535653088,0.024814360491792534,0.02688690582091835,0.030151788974932814,0.032405369890036485,0.03391608064198964,0.03421884705302158,0.034256302691499756,0.035002294157856786,0.036531732729049034,0.03821099385415399,0.0394595151367599,0.040289781789692836,0.04050515171094235,0.04050827301414887,0.04135102487990786,0.04244348100218803,0.04389800829642392,0.04565842330489826,0.04708485887027552,0.04742508091978563,0.04747190046788335,0.048798454330652136,0.050814816202060686,0.05370826427449989,0.055924389551125386,0.058558769457423866,0.05915181706666167,0.05915493836986819,0.060522069174321666,0.06256964407779536,0.0647327071999101,0.06816614072707637,0.07154963340293839,0.07506109951026753,0.07729907390933863,0.07839777263803183,0.08179687182992643,0.08450304170997475,0.08878859101251954,0.09383885960066046,0.09597070969071006,0.09598319490353613,0.09762187908695638,0.10139553466363276,0.10510676417617884,0.10890539017850732,0.11286320264436808,0.11432085124181048,0.11433021515143002,0.1167960446845767,0.12153106164885963,0.12552008714678553,0.1313007406852509,0.13702521076599902,0.1382237911973007
ardennes,3.5598970477773784e-06,3.5598970477773784e-06,3.5598970477773784e-06,3.5598970477773784e-06,3.5598970477773784e-06,3.5598970477773784e-06,3.5598970477773784e-06,1.0679691143332134e-05,9.611722028998921e-05,9.967711733776659e-05,9.967711733776659e-05,0.0007689377623199137,0.0018903053323697878,0.0022996934928641863,0.0023032533899119637,0.0025417664921130482,0.0031006703286140967,0.004809420911547238,0.006724645523251468,0.007749895873011352,0.008130804857123532,0.008137924651219087,0.009458646455944493,0.012566436578654146,0.015802382995083783,0.018447386501582373,0.02086099669997544,0.021704692300298676,0.021704692300298676,0.022448710783284146,0.023527359588760694,0.02498691737834942,0.02699825921034364,0.029091478674436736,0.02988177581904331,0.02988177581904331,0.030166567582865504,0.03085006781603876,0.03134845340272759,0.0324484615904908,0.034224850217331716,0.034755274877450545,0.034783754053832765,0.03492614993574386,0.03570932728625488,0.03689833290021253,0.038557244924476784,0.040963735328774294,0.04146212091546313,0.04147280060660646,0.04228089723645192,0.04274368385266298,0.04314239232201405,0.043907770187286185,0.044993538786858286,0.04501845806619273,0.04501845806619273,0.04548480457945156,0.046018789136618166,0.04659905235540588,0.04837900087929457,0.05052561879910433,0.051657666060297536,0.051725304104205304,0.052437283513760785,0.05476545618300719,0.05796224373191127,0.06057520816497987,0.06421342294780835,0.06668755139601362,0.06695454367459693,0.06772704133396462,0.07017625050283546,0.07387142363842837,0.07736724253934577,0.08317343462427067,0.08601423246839701,0.08609255020344811,0.08712848024435134,0.08913270228225,0.09199485950866301,0.09489973549964935,0.09894021864887667,0.10075932604029092,0.10080560470191202,0.10211208691844632,0.10472149145446713,0.10944547483686771,0.1162306386099314,0.12538313391976705,0.12857992146867112
ariege,0.0,6.549474732126483e-06,6.549474732126483e-06,6.549474732126483e-06,6.549474732126483e-06,6.549474732126483e-06,6.549474732126483e-06,6.549474732126483e-06,1.964842419637945e-05,1.964842419637945e-05,3.92968483927589e-05,0.0017225118545492653,0.0032157920934741033,0.003890387990883131,0.004276807000078594,0.005422965078200728,0.007407455922035053,0.008691152969531844,0.011520526053810485,0.01298105891907469,0.014238558067642975,0.015044143459694532,0.016766655314243796,0.01843677137093605,0.020702889628251814,0.022864216289853554,0.02501244400199104,0.026564669513505015,0.027121374865735768,0.028470566660553823,0.03259673574179351,0.035688087815357206,0.03756123758874538,0.03920515574650913,0.04014173063320322,0.0405085012182023,0.04103900867150455,0.04141887820596788,0.04198868250766288,0.042309606769537086,0.042899059495428465,0.043344423777213065,0.043383720625605825,0.04352780906971261,0.04388803017997957,0.043979722826229334,0.044019019674622094,0.04498179246024469,0.0450341882581017,0.0450341882581017,0.045525398863011185,0.0470121296272039,0.047555736029970395,0.0481255403316654,0.04853815723978937,0.04891802677425271,0.04891802677425271,0.04974981006523277,0.05080427549710513,0.05128893662728249,0.05267087579576118,0.05372534122763355,0.05415105708522176,0.05443923397343533,0.0560635037070027,0.057910455581462364,0.05956092321395824,0.062272405753058604,0.06444028188939246,0.06704042335804669,0.06785255822483037,0.07034135862303843,0.07320347908097771,0.0768842838804328,0.08143616881926069,0.08575882214246418,0.08827382043960075,0.08905975740745592,0.09210526315789473,0.09452856880878154,0.09714180922690001,0.10011527075528542,0.10355374498965184,0.10561028005553955,0.10629797490241283,0.10907495218883445,0.11278195488721804,0.11743208194702785,0.12312357548924577,0.12804223101307274,0.13210290534699118
aube,0.0,0.0,0.0,0.0,0.0,0.0,3.261780736575326e-06,3.261780736575326e-06,3.261780736575326e-06,6.523561473150652e-06,6.523561473150652e-06,0.00028051314334547804,0.0011122672311721861,0.0011122672311721861,0.0011155290119087614,0.00150041913882465,0.0021364663824568384,0.0031606655337414907,0.004439283582479019,0.005610262866909561,0.005792922588157779,0.005792922588157779,0.008082692665233657,0.012619829669809936,0.01614907642678444,0.019906647835319213,0.022578046258574406,0.023585936506176183,0.023585936506176183,0.0250374289339522,0.026625916152664384,0.028119811730015886,0.029287529233709853,0.03069009495043724,0.030787948372534502,0.030787948372534502,0.03212201669379381,0.03271566078785052,0.03389316363375421,0.035008692645662975,0.03607855672725968,0.036088342069469405,0.036088342069469405,0.03670808040941872,0.03829004406665775,0.040465651817953495,0.043013102573218824,0.044904935400432514,0.0450256212876858,0.0450256212876858,0.04549205593301607,0.04587042249845881,0.04629119221347702,0.046998998633313874,0.04761221341179003,0.04769049614946784,0.04769049614946784,0.04794165326618414,0.048189548602163866,0.04856139160613345,0.04961168500331071,0.05075657004184864,0.051653559744406864,0.051653559744406864,0.05249183739370672,0.053910712014116985,0.055391560468522186,0.05746605301698409,0.05967427857564559,0.06277297027539215,0.06528127966181857,0.06691869359157938,0.06911387202729458,0.07126990909417087,0.0750992396789103,0.0794635023044481,0.0823697489407367,0.08687426813794723,0.08955219012267557,0.0917962952694394,0.0945068350615335,0.09739351101340266,0.10049872627462236,0.10229922924121194,0.10833026182313972,0.11119736709058943,0.11525502232688914,0.1195312168725394,0.12499796138703964,0.1296688314018155,0.13215430832308592
